ds,n.min,binID,temperature.pearson.r,pH.pearson.r,DO.pearson.r,Ammonium.pearson.r,Phosphate.pearson.r,Elect_cond.pearson.r,Evapotranspiration.pearson.r,COD.pearson.r,temperature.pearson.p,pH.pearson.p,DO.pearson.p,Ammonium.pearson.p,Phosphate.pearson.p,Elect_cond.pearson.p,Evapotranspiration.pearson.p,COD.pearson.p,abu
0.2,12,bin18,0.128661253703155,0.125308012179869,0.128661253703156,0.128661253703156,0.128661253703156,0.128661253703156,0.128661253703156,0.128661253703156,0.106,0.191,0.107,0.093,0.101,0.097,0.107,0.102,0.00537145859367661
0.2,12,bin20,0.103076969195175,NA,0.103076969195175,0.103076969195175,0.103076969195175,0.103076969195175,0.103076969195175,0.103076969195175,0.09,NA,0.081,0.097,0.087,0.103,0.094,0.069,0.0041405570071461
0.2,12,bin21,-0.075623661459919,NA,-0.075623661459919,-0.075623661459919,-0.075623661459919,-0.075623661459919,-0.075623661459919,-0.075623661459919,0.739,NA,0.731,0.712,0.712,0.697,0.747,0.736,0.00266337318845994
0.2,12,bin22,0.00277885843417639,0.247462228869447,0.00277885843417711,0.0027788584341771,0.00277885843417711,0.00277885843417696,0.00277885843417709,0.00277885843417709,0.383,0.242,0.378,0.408,0.363,0.423,0.373,0.4,0.0034191099598995
0.2,12,bin23,-0.0321604507476778,0.0760933226605385,-0.0321604507476792,-0.0321604507476792,-0.0321604507476792,-0.0321604507476792,-0.0321604507476792,-0.0321604507476792,0.709,0.127,0.723,0.715,0.712,0.712,0.694,0.69,0.00543158843843634
0.2,12,bin24,0.136575698844538,-0.135376887185216,0.13657569884454,0.13657569884454,0.13657569884454,0.13657569884454,0.13657569884454,0.13657569884454,0.223,0.857,0.222,0.201,0.229,0.214,0.218,0.208,0.00826297605808191
0.2,12,bin25,0.020308239292526,0.0206238290314846,0.0203082392925287,0.0203082392925287,0.0203082392925287,0.0203082392925287,0.0203082392925287,0.0203082392925287,0.404,0.379,0.411,0.371,0.4,0.394,0.396,0.404,0.00489667349845587
0.2,12,bin26,-0.106065414617063,0.187848273664011,-0.106065414617064,-0.106065414617064,-0.106065414617064,-0.106065414617064,-0.106065414617064,-0.106065414617064,0.698,0.168,0.702,0.715,0.682,0.707,0.708,0.728,0.0138742327577431
0.2,12,bin27,0.296117969308164,0.0738180876230888,0.296117969308162,0.296117969308162,0.296117969308162,0.296117969308162,0.296117969308162,0.296117969308162,0.001,0.285,0.002,0.001,0.001,0.002,0.003,0.002,0.0133302293394129
0.2,12,bin28,-0.0144165697958685,NA,-0.014416569795868,-0.014416569795868,-0.014416569795868,-0.0144165697958683,-0.014416569795868,-0.014416569795868,0.544,NA,0.525,0.518,0.513,0.508,0.545,0.543,0.00720695581138222
0.2,12,bin29,-0.0100294055568202,NA,-0.0100294055568201,-0.0100294055568201,-0.0100294055568201,-0.01002940555682,-0.0100294055568201,-0.0100294055568201,0.509,NA,0.487,0.486,0.487,0.509,0.468,0.532,0.00287349301808677
0.2,12,bin30,-0.0215721900996525,0.0532378151756873,-0.0215721900996507,-0.0215721900996507,-0.0215721900996507,-0.0215721900996507,-0.0215721900996507,-0.0215721900996507,0.438,0.345,0.437,0.445,0.45,0.43,0.458,0.461,0.00329981657216401
0.2,12,bin40,-0.030957278998487,-0.118021384754466,-0.0309572789984874,-0.0309572789984874,-0.0309572789984874,-0.0309572789984874,-0.0309572789984874,-0.0309572789984874,0.726,0.858,0.775,0.765,0.75,0.75,0.774,0.724,0.00853518300131694
0.2,12,bin33,0.392507892126631,-0.0732118753430232,0.392507892126633,0.392507892126633,0.392507892126633,0.392507892126633,0.392507892126633,0.392507892126633,0.012,0.548,0.005,0.013,0.01,0.009,0.012,0.007,0.00394932962286575
0.2,12,bin31,-0.029933244080394,-0.0358857739566566,-0.0299332440803934,-0.0299332440803934,-0.0299332440803934,-0.0299332440803934,-0.0299332440803934,-0.0299332440803934,0.765,0.644,0.741,0.758,0.753,0.769,0.79,0.763,0.00589830196903028
0.2,12,bin32,0.178733928824668,-0.0438313088986426,0.17873392882466,0.17873392882466,0.17873392882466,0.17873392882466,0.17873392882466,0.17873392882466,0.017,0.706,0.022,0.024,0.016,0.024,0.027,0.011,0.00401838471277764
0.2,12,bin34,-0.060195046721177,0.122640254083152,-0.0601950467211751,-0.0601950467211751,-0.0601950467211751,-0.060195046721175,-0.0601950467211751,-0.0601950467211751,0.874,0.126,0.888,0.904,0.879,0.892,0.898,0.891,0.00901111153030268
0.2,12,bin35,-0.0510238964956706,NA,-0.0510238964956706,-0.0510238964956706,-0.0510238964956706,-0.0510238964956706,-0.0510238964956706,-0.0510238964956706,0.731,NA,0.715,0.708,0.723,0.727,0.735,0.722,0.0049262681375628
0.2,12,bin36,-0.0176261951826852,0.124953938896919,-0.0176261951826882,-0.0176261951826882,-0.0176261951826882,-0.0176261951826882,-0.0176261951826882,-0.0176261951826882,0.578,0.065,0.6,0.601,0.584,0.568,0.559,0.587,0.0138504861093251
0.2,12,bin37,0.176322807880364,0.0877813506719393,0.176322807880361,0.176322807880361,0.176322807880361,0.176322807880361,0.176322807880361,0.176322807880361,0.024,0.124,0.028,0.03,0.031,0.035,0.028,0.036,0.0106317744377473
0.2,12,bin38,0.0567549926998657,-0.133967286763535,0.0567549926998633,0.0567549926998633,0.0567549926998633,0.0567549926998635,0.0567549926998633,0.0567549926998633,0.105,0.943,0.106,0.11,0.094,0.12,0.113,0.104,0.00851711240662842
0.2,12,bin39,-0.0700277181739935,NA,-0.0700277181739932,-0.0700277181739932,-0.0700277181739932,-0.0700277181739932,-0.0700277181739932,-0.0700277181739932,0.798,NA,0.793,0.81,0.779,0.769,0.817,0.792,0.00295991573411014
0.2,12,bin41,-0.0252012663823331,-0.163384282677607,-0.0252012663823337,-0.0252012663823337,-0.0252012663823337,-0.0252012663823337,-0.0252012663823337,-0.0252012663823337,0.868,0.945,0.887,0.881,0.881,0.866,0.864,0.872,0.00636412919746769
0.2,12,bin42,0.0140215602477475,NA,0.0140215602477505,0.0140215602477505,0.0140215602477506,0.0140215602477503,0.0140215602477505,0.0140215602477505,0.346,NA,0.349,0.319,0.312,0.325,0.32,0.333,0.00347216392745751
0.2,12,bin43,0.269191502034368,0.0933366664864904,0.269191502034368,0.269191502034368,0.269191502034368,0.269191502034368,0.269191502034368,0.269191502034368,0.002,0.017,0.002,0.002,0.002,0.001,0.002,0.001,0.00763499843904815
0.2,12,bin44,-0.032939365048408,NA,-0.032939365048408,-0.032939365048408,-0.032939365048408,-0.032939365048408,-0.032939365048408,-0.032939365048408,0.684,NA,0.707,0.712,0.721,0.705,0.681,0.715,0.00358021186098419
0.2,12,bin45,0.229525887998218,0.136046241423973,0.229525887998215,0.229525887998215,0.229525887998215,0.229525887998215,0.229525887998215,0.229525887998215,0.082,0.244,0.077,0.071,0.073,0.066,0.088,0.089,0.00670646140906293
0.2,12,bin46,-0.0713511553288823,-0.144596011319142,-0.0713511553288821,-0.0713511553288821,-0.0713511553288821,-0.071351155328882,-0.0713511553288821,-0.0713511553288821,0.844,0.971,0.852,0.827,0.828,0.833,0.845,0.837,0.0118366957460665
0.2,12,bin47,0.00346964808613462,-0.186366469261081,0.00346964808613793,0.00346964808613794,0.00346964808613794,0.00346964808613798,0.00346964808613793,0.00346964808613794,0.365,0.988,0.367,0.352,0.413,0.389,0.365,0.362,0.00490974261905716
0.2,12,bin48,-0.0275733860846101,-0.148489112942576,-0.0275733860846109,-0.0275733860846109,-0.0275733860846109,-0.0275733860846109,-0.0275733860846109,-0.0275733860846109,0.738,0.842,0.752,0.747,0.739,0.736,0.721,0.727,0.015042992804488
0.2,12,bin49,0.100740694173374,NA,0.100740694173374,0.100740694173374,0.100740694173374,0.100740694173374,0.100740694173374,0.100740694173374,0.052,NA,0.034,0.031,0.046,0.041,0.044,0.044,0.00462909858145959
0.2,12,bin52,0.0296587339694235,-0.117225721147746,0.0296587339694218,0.0296587339694219,0.0296587339694219,0.0296587339694219,0.0296587339694219,0.0296587339694219,0.115,0.836,0.134,0.127,0.107,0.102,0.132,0.135,0.0125464086358081
