ASV_ID	CaS3_S35_L001	CaS4_S47_L001	TgS1_S11_L001	TgS2_S23_L001	UpS5_S59_L001
ASV490	0	0	0	0	55
ASV491	0	0	0	0	55
ASV492	0	0	0	0	55
ASV493	54	0	0	0	0
ASV494	36	0	18	0	0
ASV495	34	20	0	0	0
ASV496	27	0	27	0	0
ASV497	22	0	32	0	0
ASV498	0	0	54	0	0
ASV499	0	0	54	0	0
ASV500	0	0	54	0	0
ASV501	0	0	46	8	0
ASV502	0	0	35	19	0
ASV503	0	0	31	23	0
ASV504	0	0	25	29	0
ASV505	0	0	20	17	17
ASV506	0	0	0	0	54
ASV507	0	0	0	0	54
ASV508	0	0	0	0	54
ASV509	0	0	0	0	54
ASV510	0	0	0	0	54
ASV511	53	0	0	0	0
ASV512	53	0	0	0	0
ASV513	40	13	0	0	0
ASV514	31	22	0	0	0
ASV515	28	0	0	0	25
ASV516	25	28	0	0	0
ASV517	0	53	0	0	0
ASV518	0	53	0	0	0
ASV519	0	8	0	18	27
ASV520	0	0	53	0	0
ASV521	0	0	34	0	19
ASV522	0	0	23	30	0
ASV523	0	0	0	0	53
ASV524	0	0	0	0	53
ASV525	0	0	0	0	53
ASV526	0	0	0	0	53
ASV527	0	0	0	0	53
ASV528	0	0	0	0	53
ASV529	0	0	0	0	53
ASV530	52	0	0	0	0
ASV531	45	0	7	0	0
ASV532	18	34	0	0	0
ASV533	17	0	0	0	35
ASV534	9	14	11	18	0
ASV535	9	0	43	0	0
ASV536	0	52	0	0	0
ASV537	0	52	0	0	0
ASV538	0	52	0	0	0
ASV539	0	0	52	0	0
ASV540	0	0	52	0	0
ASV541	0	0	52	0	0
ASV542	0	0	46	6	0
ASV543	0	0	30	22	0
ASV544	0	0	0	52	0
ASV545	0	0	0	0	52
ASV546	0	0	0	0	52
ASV547	0	0	0	0	52
ASV548	0	0	0	0	52
ASV549	0	0	0	0	52
ASV550	0	0	0	0	52
ASV551	51	0	0	0	0
ASV552	36	15	0	0	0
ASV553	0	51	0	0	0
ASV554	0	51	0	0	0
ASV555	0	37	0	14	0
ASV556	0	34	17	0	0
ASV557	0	0	51	0	0
ASV558	0	0	51	0	0
ASV559	0	0	51	0	0
ASV560	0	0	51	0	0
ASV561	0	0	51	0	0
ASV562	0	0	51	0	0
ASV563	0	0	9	0	42
ASV564	0	0	0	0	51
ASV565	0	0	0	0	51
ASV566	0	0	0	0	51
ASV567	50	0	0	0	0
ASV568	39	0	11	0	0
ASV569	37	13	0	0	0
ASV570	11	39	0	0	0
ASV571	6	0	44	0	0
ASV572	0	0	50	0	0
ASV573	0	0	50	0	0
ASV574	0	0	0	50	0
ASV575	0	0	0	50	0
ASV576	0	0	0	0	50
ASV577	0	0	0	0	50
ASV578	0	0	0	0	50
ASV579	0	0	0	0	50
ASV580	0	0	0	0	50
ASV581	49	0	0	0	0
ASV582	49	0	0	0	0
ASV583	31	18	0	0	0
ASV584	0	49	0	0	0
ASV585	0	49	0	0	0
ASV586	0	49	0	0	0
ASV587	0	49	0	0	0
ASV588	0	49	0	0	0
ASV589	0	15	0	0	34
ASV590	0	6	0	0	43
ASV591	0	0	49	0	0
ASV592	0	0	49	0	0
ASV593	0	0	49	0	0
ASV594	0	0	49	0	0
ASV595	0	0	49	0	0
ASV596	0	0	49	0	0
ASV597	0	0	49	0	0
ASV598	0	0	28	21	0
ASV599	0	0	0	49	0
ASV600	0	0	0	49	0
ASV601	0	0	0	49	0
ASV602	0	0	0	0	49
ASV603	0	0	0	0	49
ASV604	0	0	0	0	49
ASV605	0	0	0	0	49
ASV606	0	0	0	0	49
ASV607	0	0	0	0	49
ASV608	48	0	0	0	0
ASV609	48	0	0	0	0
ASV610	48	0	0	0	0
ASV611	48	0	0	0	0
ASV612	42	0	0	6	0
ASV613	25	23	0	0	0
ASV614	21	14	13	0	0
ASV615	0	48	0	0	0
ASV616	0	48	0	0	0
ASV617	0	48	0	0	0
ASV618	0	48	0	0	0
ASV619	0	48	0	0	0
ASV620	0	48	0	0	0
ASV621	0	0	48	0	0
ASV622	0	0	48	0	0
ASV623	0	0	48	0	0
ASV624	0	0	48	0	0
ASV625	0	0	48	0	0
ASV626	0	0	0	48	0
ASV627	0	0	0	0	48
ASV628	0	0	0	0	48
ASV629	0	0	0	0	48
ASV630	0	0	0	0	48
ASV631	47	0	0	0	0
ASV632	47	0	0	0	0
ASV633	13	0	0	0	34
ASV634	13	21	0	13	0
ASV635	0	47	0	0	0
ASV636	0	41	6	0	0
ASV637	0	34	13	0	0
ASV638	0	30	0	17	0
ASV639	0	0	47	0	0
ASV640	0	0	47	0	0
ASV641	0	0	47	0	0
ASV642	0	0	47	0	0
ASV643	0	0	40	7	0
ASV644	0	0	25	22	0
ASV645	0	0	24	23	0
ASV646	0	0	0	0	47
ASV647	0	0	0	0	47
ASV648	0	0	0	0	47
ASV649	0	0	0	0	47
ASV650	0	0	0	0	47
ASV651	0	0	0	0	47
ASV652	0	0	0	0	47
ASV653	0	0	0	0	47
ASV654	46	0	0	0	0
